unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1.55822E+12,5/19/2019 0:00,ETH/USDT,233.57,264,231.77,259.51,823859.0634,207383027.8,285496
1.55814E+12,5/18/2019 0:00,ETH/USDT,244.31,248,230.62,233.6,673218.0998,160450040.8,236314
1.55805E+12,5/17/2019 0:00,ETH/USDT,264.35,268.74,223.43,244.3,1529892.569,366429299.2,517016
1.55796E+12,5/16/2019 0:00,ETH/USDT,248.06,279.76,241.76,264.25,1733360.894,452410350.1,553635
1.55788E+12,5/15/2019 0:00,ETH/USDT,216.4,250.27,216.21,248.1,574697.2993,135054369.6,176272
1.55779E+12,5/14/2019 0:00,ETH/USDT,195.83,219.81,194.19,216.4,864211.006,179717430.3,248577
1.55771E+12,5/13/2019 0:00,ETH/USDT,188.07,206.87,185.32,195.84,669265.4652,131102303.1,190439
1.55762E+12,5/12/2019 0:00,ETH/USDT,190.2,204.32,181,188.11,823372.2815,157611011.7,228585
1.55753E+12,5/11/2019 0:00,ETH/USDT,172.92,205.23,172.92,190.2,885292.3839,167180496.8,246217
1.55745E+12,5/10/2019 0:00,ETH/USDT,170.96,176.7,168.46,172.91,425543.7402,73717438.65,142024
1.55736E+12,5/9/2019 0:00,ETH/USDT,170.88,173.88,166.57,170.9,284663.9946,48482365.54,111190
1.55727E+12,5/8/2019 0:00,ETH/USDT,169.07,173.17,164.8,170.85,296410.761,50307994.58,108809
1.55719E+12,5/7/2019 0:00,ETH/USDT,172.98,182.76,167.89,169.18,732496.8786,129206700.1,208268
